State/Territory,abbr,deaths_per_100k,dem_margin_2020,population,perc_25plus_with_bachelors,income_per_capita,perc_pop_at_least_1_dose,stringency_index,population_per_sq_mi,perc_urban,median_age,mean_temperature,perc_blue_collar_jobs,obesity_rate,perc_pop_nonwhite,flu_death_rate,McCain08Share,Romney12Share,Trump16Share,Trump16McCain08Shift,poverty_rate,relative_humidity,nursing_resid_per_pop,over_65_pct,uninsured_pct,gini_inequality,regular_church_pct,seldomornever_church_pct,cars_per_capita_pct,share_in_apts_pct,diabetes_pct,doctors_per_capita,high_blood_pressure_pct,hispanic_latino_pct,mex_amer_pct,afr_amer_pct,multi_gen_household_pct,under_18_pct,undocumented_pct,res_per_household,cig_use_pct,urb_index_538,pct_in_city_min_200k,pctExcessAfterMarch1_2020Higher,pctExcessAfterMarch1_2020Lower,pctExcessAfterMarch1_2020,pctExcessAfterJune1_2020Higher,pctExcessAfterJune1_2020Lower,pctExcessAfterJune1_2020,pctExcessAfterJuly1_2020Higher,pctExcessAfterJuly1_2020Lower,pctExcessAfterJuly1_2020,pctExcessAfterSept1_2020Higher,pctExcessAfterSept1_2020Lower,pctExcessAfterSept1_2020,pctExcessAfterOct1_2020Higher,pctExcessAfterOct1_2020Lower,pctExcessAfterOct1_2020,pctExcessAfterNov1_2020Higher,pctExcessAfterNov1_2020Lower,pctExcessAfterNov1_2020,pctExcessAfterDec1_2020Higher,pctExcessAfterDec1_2020Lower,pctExcessAfterDec1_2020,deaths_since_march1_2020,deaths_since_march1_2020_per330million,deaths_since_march1_2020_per100k,deaths_since_june1_2020,deaths_since_june1_2020_per330million,deaths_since_oct1_2020,deaths_since_oct1_2020_per330million,deaths_since_oct1_2020_per100k
Alabama,AL,226,-25.5,4903185,0.2635,23606,0.356,47.76446808510627,95.4,0.59,39.4,62.68,0.179,0.361,0.345,16.6,60.32,60.55,62.08,1.759999999999998,15.5,71.6,0.004626380607707,16.9,19.0,0.474,51.0,16.0,1030.0,8.0,12.7,217.1,42.5,4.1,2.6,27.8,0.0375457952672251,22.3,1.2,2.55,19.2,9.61,0.0836015773420745,0.2461853239006797,0.1911846303232071,0.2186849771119434,0.2966940837921736,0.2380078399383681,0.2673509618652708,0.309053405899749,0.2506523521956311,0.2798528790476901,0.2971161143435366,0.2395965089805211,0.2683563116620288,0.3040141251081003,0.2472974920726434,0.2756558085903718,0.3298170358049549,0.2741398931979339,0.3019784645014444,0.3453110838620248,0.2901316841712427,0.3177213840166338,11214,754737.9917339444,228.7084823436195,10349,696520.7309126619,7247,487746.2302564558,147.80188795650173
Alaska,AK,49,-10.1,731545,0.3019,33062,0.453,57.23715498938417,1.3,0.66,35.0,32.03,0.133,0.305,0.394,7.1,59.42,54.8,51.28,-8.14,10.1,77.1,0.0006821179831726,11.8,17.0,0.438,30.0,36.0,960.0,7.0,7.3,276.9,32.8,7.0,3.8,4.7,0.0348296384997561,24.9,1.0,2.81,19.1,8.74,0.392450225208292,0.1087782443511297,0.0187962407518496,0.0637872425514897,0.1189572260187294,0.0237914452037458,0.0713743356112376,0.1252765486725663,0.0259955752212389,0.0756360619469026,0.1266360099044924,0.0258224266006367,0.0762292182525645,0.1213101496158512,0.026283865750101,0.0737970076829761,0.1207153502235469,0.029806259314456,0.0752608047690014,0.0906877662811929,0.0225197808886183,0.0566037735849056,362,163298.22498957685,49.48431060290208,349,157433.92409216112,293,132172.3202263702,40.052218250415216
Arizona,AZ,241,0.3,7278717,0.3018,25715,0.453,53.28091489361737,58.3,0.898,38.2,65.97,0.113,0.314,0.453,10.3,53.64,53.65,48.08,-5.560000000000002,13.5,38.5,0.0014185192252975,17.5,17.0,0.459,34.0,33.0,823.0,11.0,9.8,242.0,32.5,31.4,27.8,6.0,0.0447506610331402,22.9,3.9,2.69,14.0,11.3,0.5538433490407719,0.2971012364533466,0.2307703603630062,0.2639357984081764,0.3649198603583621,0.2940960904198892,0.3295079753891257,0.3744214683028321,0.3035327586938983,0.3389771134983652,0.3370868833776523,0.2668909751994356,0.301988929288544,0.3640182874088719,0.294482886445076,0.3292505869269739,0.417336974821355,0.3490590744135583,0.3831980246174566,0.4609761634506243,0.3941430192962543,0.4275595913734393,17757,805060.8369579419,243.95782938119453,16812,762216.7478142095,12064,546953.535904748,165.74349572871154
Arkansas,AR,192,-27.6,3017825,0.2334,22883,0.387,55.21726114649672,56.9,0.562,38.5,60.09,0.172,0.374,0.277,16.6,58.72,60.57,60.57,1.8500000000000012,16.2,70.9,0.0057276349688931,17.0,15.0,0.475,41.0,26.0,931.0,7.0,10.5,207.6,41.0,7.4,5.4,16.7,0.0330082920335806,23.3,1.9,2.52,22.7,9.26,0.0,0.2166039037571506,0.1470089401213097,0.1818064219392302,0.2728700138322928,0.1906987177090732,0.231784365770683,0.2847842109573335,0.202849889443944,0.2438170502006387,0.2940136266708275,0.2133978259738908,0.2537057263223591,0.3028829042591054,0.2236326966425436,0.2632578004508245,0.2976901489530114,0.2201914082176009,0.2589407785853062,0.2823488045007032,0.2061357243319268,0.244242264416315,6024,658726.0692717438,199.61396038537688,5889,643963.7818627654,4652,508697.48908568255,154.15075426838865
California,CA,156,29.2,39512223,0.35,30441,0.554,63.924017094017,246.1,0.95,37.0,61.17,0.128,0.262,0.63,12.5,36.95,37.12,31.62,-5.330000000000002,11.8,61.0,0.0025297488324056,14.3,13.0,0.487,31.0,34.0,840.0,17.0,9.9,279.6,27.8,39.1,32.3,7.0,0.0582065961572968,22.7,5.6,2.96,11.2,12.19,0.3285212274692821,0.2839956880073566,0.2316352853251042,0.2578154866662304,0.3427123123339812,0.2869390313750073,0.3148256718544943,0.3626487786055623,0.3068227914477655,0.3347357850266639,0.3771895191361622,0.3219964027649827,0.3495929609505724,0.4006007160193311,0.346066520046406,0.3733336180328686,0.4551824465658383,0.4017956288574601,0.4284890377116492,0.5033668106364156,0.4513191445074673,0.4773429775719415,62022,517998.1900790548,156.96914850880447,57391,479320.7914421823,45287,378230.0479525032,114.61516604621308
Colorado,CO,112,13.5,5758736,0.4266,32357,0.527,58.3301698513804,50.8,0.862,37.1,46.26,0.123,0.238,0.318,7.8,44.71,46.13,43.25,-1.4600000000000009,9.3,54.1,0.0027790820763445,14.2,13.0,0.455,30.0,38.0,919.0,13.0,6.3,285.7,25.8,21.5,15.8,5.4,0.0313958685572879,22.2,3.4,2.56,14.5,11.15,0.2787149818988055,0.1923988858451693,0.135471098731613,0.1639349922883911,0.1930035463124361,0.1351806215062811,0.1640920839093586,0.1948940650085537,0.1375509935517831,0.1662225292801684,0.2074856928025397,0.1518860436943899,0.1796858682484648,0.2226614593255858,0.1664126500285768,0.1945370546770813,0.2452819232332617,0.1897102375007258,0.2174960803669938,0.2067379149267464,0.1533724962842381,0.1800552056054922,6639,380442.86107229086,115.28571547645176,5192,297523.6232395442,4576,262224.21031281864,79.46188191297534
Connecticut,CT,230,20.0,3565287,0.3984,39373,0.618,64.78737417943114,742.6,0.88,41.1,48.6,0.129,0.291,0.333,11.0,38.22,40.73,40.93,2.710000000000001,10.0,69.2,0.0055041852170666,17.2,10.0,0.502,28.0,35.0,860.0,11.0,7.4,352.1,30.9,16.1,1.6,13.2,0.0320491502113761,20.6,3.5,2.54,12.2,11.41,0.0,0.2514978810463247,0.1936285255005114,0.222563203273418,0.1672666002910316,0.1102856705215593,0.1387761354062954,0.1756433399101633,0.1181310608286805,0.1468872003694219,0.2157917154722606,0.1498242998615696,0.1828080076669151,0.2387463697967086,0.1689254598257502,0.2038359148112294,0.2696546656869948,0.2005143277002204,0.2350844966936076,0.2850111856823266,0.2162863534675615,0.2506487695749441,8248,763428.021362656,231.34182465535036,4304,398374.6610020456,3740,346171.2899971307,104.9003909082214
Delaware,DE,170,19.0,973764,0.332,30488,0.529,61.39127429805655,475.1,0.833,41.1,54.48,0.103,0.344,0.378,10.5,36.95,39.98,41.72,4.769999999999996,11.3,70.9,0.0040430740918744,18.7,11.0,0.451,34.0,34.0,950.0,9.0,9.9,284.6,36.4,9.3,3.7,24.4,0.0409420607645672,21.1,3.0,2.58,16.5,11.01,0.0,0.1892726220335712,0.0907775419641134,0.1400250819988423,0.1815181518151815,0.0799695354150799,0.1307438436151307,0.1897007654836464,0.0865692414752957,0.1381350034794711,0.2073192396518031,0.1094332918813288,0.158376265766566,0.215670436187399,0.1193457189014539,0.1675080775444264,0.224669603524229,0.1375428291727851,0.1811062163485071,0.2537402752842609,0.1627767803710353,0.2082585278276481,1678,568659.3466178663,172.32101412662615,1309,443608.5129456419,1041,352785.6852379016,106.90475310239442
District of Columbia,DC,159,86.8,705749,0.5967,45877,0.559,67.1531130063967,10588.8,1.0,34.2,54.73,0.022,0.238,0.635,10.8,6.53,7.28,4.07,-2.46,13.5,64.0,0.001779669542571,12.1,6.0,0.512,28.0,37.0,830.0,19.0,8.4,847.0,27.2,11.0,1.6,47.2,0.0293994581061151,18.1,3.8,2.29,13.8,13.0,1.0,0.3465844556222618,0.1999026448158364,0.2732435502190491,0.3108988276161528,0.154363873208858,0.2326313504125054,0.3119463729949724,0.1572899209959301,0.2346181469954512,0.3429892141756548,0.1889060092449923,0.2659476117103235,0.3647266313932981,0.2049382716049382,0.2848324514991182,0.4030368763557483,0.2355748373101952,0.3193058568329718,0.4326465927099842,0.2646592709984152,0.3486529318541997,1136,531180.3488208981,160.9637420669388,670,313284.18460387475,509,238002.46263189887,72.12195837330269
Florida,FL,169,-3.4,21477737,0.307,26582,0.478,54.06375809935215,364.6,0.912,42.5,71.8,0.1,0.27,0.462,8.2,48.22,49.13,49.02,0.8000000000000043,12.7,74.5,0.0033132913397719,20.5,25.0,0.481,35.0,31.0,796.0,13.0,9.4,265.2,33.5,25.6,9.8,17.6,0.0403910682645419,19.9,3.8,2.65,14.5,11.46,0.1396644814116124,0.1798808492769598,0.1340008223324497,0.1569408358047048,0.2206875930792186,0.1713520133861573,0.1960198032326879,0.2314235518649123,0.182339261113007,0.2068814064889596,0.1832051220023545,0.1347751060364152,0.1589901140193849,0.1812475841631541,0.1331609269450938,0.1572042555541239,0.1939769707705934,0.14664035608974,0.1703086634301667,0.2099773056626473,0.1633718863642577,0.1866745960134525,36973,568080.7992015174,172.14569672773254,34522,530421.8037496222,22656,348103.7131612143,105.48597368521646
